Seconds=   7.375	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.419	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.444	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.488	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.512	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.538	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.582	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.606	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.651	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.677	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.719	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.742	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.784	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.831	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.855	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.898	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.922	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.963	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   7.987	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.031	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.054	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.101	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.124	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.170	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.196	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.221	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.263	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.305	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.328	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.370	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.394	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.438	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.462	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.507	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.531	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.573	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.597	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.642	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.691	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.715	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.739	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.780	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.803	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.849	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.874	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.916	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.941	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   8.983	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.026	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.050	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.093	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.117	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.161	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.187	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.231	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.255	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.295	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.317	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.355	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.396	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.420	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.467	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.493	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.540	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.565	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.591	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.634	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.659	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.705	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.729	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.771	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.795	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.839	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.863	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.904	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.946	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   9.969	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.012	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.037	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.081	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.105	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.149	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.200	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.224	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.248	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.290	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.314	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.356	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.381	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.423	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.446	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.490	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.515	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.559	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.583	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.626	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
